S/No,Hausa,Polarity,English
11196,sun kasance zalunci,negative,they were atrocities
11197,sun kashe,negative,they killed
11198,"sun kira su ""cunts""",negative,"they called them ""cunts"""
11199,sun lalace,negative,they are damaged
11200,sun mamaye,negative,they dominated
11201,sun mutu,negative,they are dead
11202,sun samu riba,neutral,they made earnings
11203,sun shiga ciki,neutral,they were involved
11204,sun shirya don makaranta,positive,they are ready for school
11205,sun tabbatar,neutral,they affirm
11206,sun tsaftace muhalli,positive,they cleaned the environment
11207,sun wuce,negative,they exceeded
11208,sun yarda,positive,they conceded
11209,sun yi bakin ciki,negative,they were devastated
11210,sun yi fice,negative,they were outperformed
11211,sun yi hijira,neutral,they migrated
11212,sun yi matsi,neutral,they did pressure
11213,sun yi rikici,negative,they made a mess
11214,sun yi shi,neutral,they did it
11215,sun yi shi a banza,negative,they did it in vain
11216,sun yi shi a cikin rude,neutral,they did it in a rue
11217,sun yi sirri,negative,they made a secret
11218,sun yi surutu da yawa,negative,they made a lot of noise
11219,sun yi zafi,negative,they got hot
11220,sun zagi,negative,they accursed
11221,sun zo a hankali,neutral,they came at a slow pace
11222,suna allah wadai,negative,they condemn
11223,suna bambanta,neutral,they vary
11224,suna bayarwa,neutral,they provide
11225,suna bin sa,neutral,they owe it
11226,suna buga shi,neutral,they cite it
11227,suna bukatar bukatar shi,neutral,they need to require it
11228,suna ci,positive,they eat
11229,suna cikin bukata,neutral,they are in need
11230,suna cin amana,negative,they betray
11231,suna cin hanci da rashawa,negative,they are corrupt
11232,suna da,neutral,they have with
11233,suna da abin sha,negative,they have exhausts
11234,suna da alaka da wani abu,neutral,they relate to something
11235,suna da arziki,positive,they are rich
11236,suna da ayaba masu kyau,positive,they are good bananas
11237,suna da bashi,negative,they have debts
11238,suna da ciki,positive,they are pregnant
11239,suna da ciwon kai,negative,they have headaches
11240,suna da dadi daban-daban,neutral,they are deliciously different
11241,suna da fice,positive,they are outstanding
11242,suna da juna,neutral,they are mutual
11243,suna da kasawa,negative,they have deficiencies
11244,suna da korafi,negative,they have grievances
11245,suna da kwarewa kuma suna da kwarewa,positive,they are experienced and skilled
11246,suna da kyau sosai,positive,they are very good
11247,suna da kyawawan halaye,positive,they are good morals
11248,suna da kyawawan littattafai,positive,they are beautiful ledgers
11249,suna da ma'aikata,neutral,they have staff
11250,suna da mutum-mutumi,neutral,they have statuesque
11251,suna da tsarki,positive,they are pure
11252,suna da 'yanci,neutral,they have freedoms
11253,suna da zuriya,negative,they have a brood
11254,suna da zuriyarsu,negative,they have brood
11255,suna dogara,neutral,they rely
11256,suna dukan juna,negative,they beat each other
11257,suna fada,negative,they fight
11258,suna gadi,neutral,they were on guard
11259,suna godiya sosai,positive,they are very complimentary
11260,suna gundura,negative,they bores
11261,suna haduwa,negative,they cohere
11262,suna hakuri,positive,they are patient
11263,suna iyawa,positive,they are capable
11264,suna karimci,neutral,they are generous
11265,suna kusa,neutral,they are close
11266,suna lafiya,positive,they are safe
11267,suna nufin yin hakan,neutral,they intend to do that
11268,suna nuna,neutral,they imply
11269,suna raina,negative,they belittling
11270,suna shirye magina,neutral,they are ready builders
11271,suna takaici,neutral,they deplore
11272,suna tare,neutral,they were together
11273,suna tsakanin,neutral,they are between
11274,suna tsoro,negative,they are afraid
11275,suna yada addini,neutral,they spread religion
11276,suna yi,neutral,they do
11277,suna yin wasan kwaikwayo,neutral,they are performing
11278,suna zagi,negative,they are abusive
11279,suna zargin,negative,they accuse
11280,sunan dare,neutral,nighttime name
11281,sunan mai kyau,positive,a good name
11282,sunan shine abin da yake,neutral,name is what it is
11283,sunansa kaka,neutral,his name was grandfather
11284,sunanta kaka,neutral,her name was grandmother
11285,sunanta mama ce,neutral,she was called mommy
11286,sune mugayen ma'aurata,negative,they are a bad couple
11287,sunkuyar da kasa,neutral,bend down
11288,surutu ba tare da gado ba,negative,noises without a sense
11289,surutu marasa tabbas,negative,uncertain noises
11290,swank tsuntsu ne,neutral,swank is a bird
11291,swankier kare ne,negative,swankier is a dog
11292,swankier tsuntsu ne,negative,swankier is a bird
11293,ta baki,neutral,it edge
11294,ta buga a banza,negative,she knocked in vain
11295,ta buga buhun a banza,negative,she hit the sack in vain
11296,ta ci abinci a fusace,negative,she ate angrily
11297,ta dage,neutral,she is persistent
11298,ta daka masa tsawa,negative,she shouted at him
11299,ta fahimta,positive,she is understanding
11300,ta fice a fusace,negative,she left angrily
11301,ta fusata,negative,she was angry
11302,ta gaji,negative,she is tired
11303,ta gari,positive,kindness
11304,ta gigice,negative,she was shocked
11305,ta girma,positive,she is matured
11306,ta hanyar,neutral,it's by
11307,ta hanyar cin zarafi,negative,in an abusive manner
11308,ta hanyar ladabi,neutral,in a polite way
11309,ta hanyar lokaci,neutral,through the course of time
11310,ta hanyar mu'ujiza,neutral,through a miracle
11311,ta hanyar rashin hankali,negative,in a senseless way
11312,ta hanyar tsari,neutral,through the process
11313,ta k'ara a fusace,negative,she added angrily
11314,ta kasa,negative,she failed
11315,ta kasance,neutral,she was
11316,ta kasance jaruma,positive,she was a hero
11317,ta kasance mai kyauta,positive,she is generous
11318,ta kasance mai tausayi,positive,she is compassionate
11319,ta kauce,neutral,she avoided it
11320,ta kwanta a fusace,negative,she went to bed angry
11321,ta kyamace ta,negative,disgust her
11322,ta mike tsaye,positive,she stood up straight
11323,ta mutu,negative,she is dead
11324,ta rude,negative,she was confused
11325,ta sha a banza,negative,she drank in vain
11326,ta sha a fusace,negative,she drank angrily
11327,ta shahara,positive,she became famous
11328,ta shawo kansa,neutral,she convinced him
11329,ta tafi a banza,negative,she went in vain
11330,ta taka birki,negative,she braked
11331,ta tsaya cak,neutral,she stopped in her tracks
11332,ta tsira,positive,she survived
11333,ta wannan hanyar,neutral,in this way
11334,ta wurinsa duka,neutral,through it all
11335,ta yaya kuma,neutral,how
11336,ta yi barci,neutral,she fell asleep
11337,ta yi fice,positive,she is outstanding
11338,ta yi masa sihirin,negative,she did the magic for him
11339,ta zo,neutral,she came
11340,ta zo a fusace,negative,she came in anger
11341,ta zo da birki,neutral,she came with a brake
11342,ta'addanci ne,negative,terrorism
11343,ta'aziyya ce?,positive,is it a consolation?
11344,taba ce,negative,tobacco
11345,taba sigari,neutral,cigarettes
11346,taba tabar wiwi ne,negative,tobacco is marijuana
11347,tabawa na ruhaniya ne,neutral,touch is spiritual
11348,tabbas an yi,positive,sure it was done
11349,tabbas gaskiya ne,neutral,it's definitely true
11350,tabbas haka ne,neutral,"of course, it is"
11351,tabbataccen murmushi,negative,affirmative grimace
11352,tabbataccen sanarwa,positive,affirmative declaim
11353,tabbatar an yi,neutral,confirmation is done
11354,tabbatar da doka,neutral,law enforcement
11355,tabbatar da hakan,neutral,confirm that
11356,tabbatar da jaddadawa,neutral,make sure to emphasize
11357,tabbatar kun tsangwama,negative,make sure you harass
11358,tabon ciwo,neutral,scars of pain
11359,tabon hankali,negative,madness
11360,tace anyi,neutral,filtering done
11361,tace gwargwadon iyawar ku,positive,refine to the best of your ability
11362,tace mai kyau,positive,a good filter
11363,tace miyagu,neutral,the filter of the wicked
11364,tace sannu,neutral,say hello
11365,tada darajar,neutral,raise the grade
11366,tada hankali,negative,disturbance
11367,tada hannunka,neutral,raise your hand
11368,tafada abokanka,positive,clap your friends
11369,tafada da karfi,positive,he claps loudly
11370,tafada kai,positive,clap my head
11371,tafada ma kafinta,positive,a round of applause for the carpenter
11372,tafada ma'aikata,positive,applause the staff
11373,tafada matafiya,positive,applause the travelers
11374,tafarnuwa ce,neutral,it's garlic
11375,tafawa a hankali,positive,clap slowly
11376,tafawa alhazai,positive,applause the pilgrims
11377,tafawa almajirai,positive,applause the disciples
11378,tafawa farar fata,positive,applause the whites
11379,tafawa larabawa,positive,applause the arabs
11380,tafawa magina,positive,applause the builders
11381,tafawa mahaifina,positive,applause for my father
11382,tafawa mai gida,positive,applause the owner
11383,tafawa makada,positive,clap for the band
11384,tafawa makeri,positive,applause the blacksmith
11385,tafawa malaman addini,positive,applause the religious teachers
11386,tafawa malaman coci,positive,applause the teachers of the church
11387,tafawa masu girki,positive,applause to the cooks
11388,tafawa masu gyara,positive,a round of applause for the editors
11389,tafawa masu ibada,positive,applause the worshipers
11390,tafawa sosai,positive,it was a great applause
11391,tafawa tsofaffi,positive,clap for the old ones
11392,tafawa 'yan sanda,positive,applause the police
11393,tafawa yara,positive,clap for the kids
11394,tafawa 'yata,positive,a round of applause for my daughter
11395,tafi a hankali,neutral,go slowly
11396,tafi can,negative,go away
11397,tafi ga malamai,positive,applause to the teachers
11398,tafi sosai,positive,go very well
11399,tafi tuki,neutral,go drive
11400,tafin hannu,neutral,the palm of the hand
11401,tafin hannuna,neutral,the palm of my hand
11402,tafiya a tsare,neutral,travel in custody
11403,tafiya ce mai dadin,positive,it is a fun trip
11404,tafiya cikin hargitsi,negative,walk in chaos
11405,tafiya cikin tsari,neutral,her orderly walk
11406,tafiya ga jami'an tsaro,positive,a round of applause for the security forces
11407,tafiya gida,neutral,walk home
11408,tafiya masu jan hankali,positive,breathtaking walks
11409,tafiya zuwa mutuwa,negative,walk to death
11410,tafiyar hankali ce,positive,it is a mind trip
11411,tafki mai ruwa,neutral,a pool with water
11412,tafkin ruwa cikin wauta,negative,a pool of water in stupidity
11413,tafsiri ne,neutral,it is an interpretation
11414,tagan tana da allo,neutral,the window has a screen
11415,tagwayen tagwaye ne,neutral,the twins are twin
11416,taimaka da wani abu,neutral,assist with something
11417,taimaka mishi,positive,assist him
11418,taimaka muku,positive,help you
11419,taimaka wa wutar lantarki,positive,contribute to electrification
11420,taimakawa halin da ake ciki,positive,contribute to the situation
11421,taimakawa talakawa,positive,helping the poor
11422,taimake ni,positive,help me
11423,taimako daga malaman makaranta,positive,help from school teachers
11424,taimako ga masu babur,positive,help for motorcyclists
11425,taimako ga masu bukata,neutral,aid to those in need
11426,taimako ga masu karbar fansho,positive,help for pensioners
11427,taimako na,positive,my help
11428,taimako ne,positive,the help
11429,taimakon budurwa ne,positive,it is a girlfriend's help
11430,taimakon dattawa ne,positive,it is the help of the elders
11431,taimakon direba ne,positive,it is driver assistance
11432,taimakon fada ne,positive,it is the help of tells
11433,taimakon iyaye ne,positive,it is a parent's help
11434,taimakon jami'ai ne,positive,it is the help of officials
11435,taimakon ku,positive,your help
11436,taimakon malamai ne,positive,it is the help of teachers
11437,taimakon manoma ne,positive,it is the help of farmers
11438,taimakon manyan malamai,positive,the help of senior teachers
11439,taimakon manyan yara,positive,the help of older children
11440,taimakon marayu ne,positive,it is an orphan aid
11441,taimakon masoya ne,positive,it is the help of lovers
11442,taimakon mijinta ne,positive,it is the help of her husband
11443,taimakon mutane ne,positive,it is the help of people
11444,taimakon samarin,positive,the help of the boys
11445,taimakon shari'a,positive,legal aid
11446,taimakon tagwaye ne,positive,it is twin help
11447,taimakon yan banga,positive,the help of vigilantes
11448,taimakon 'yan kasashen waje,positive,the help of foreigners
11449,taji rauni,negative,she has injury
11450,taji tsoro sosai,negative,very nervous
11451,takaitaccen bayani,neutral,a brief statement
11452,takalmin ma'aikacin jinya,negative,nurse's shoes
11453,takarda mai kyau,positive,good paper
11454,takarda mai yawa,neutral,a lot of paper
11455,takarda mara komai,neutral,empty paper
11456,takardar sayan magani ce,neutral,it is a prescription
11457,takardar takarda ce,neutral,the paper is paper
11458,takardu ne,neutral,it's a document
11459,takardu ne masu kyau,positive,they are beautiful documents
11460,take a kan,neutral,take over
11461,take ne,neutral,it's the title
11462,taken babban matsayi,positive,the title of the main position
11463,taken shine,neutral,it's the theme
11464,taken shine game da wani abu,neutral,the theme is about something
11465,taken shiri ne,neutral,it is a ready topic
11466,takin gargajiya mai guba,negative,traditional toxic fertilizers
11467,takobi ne babba,positive,it is a great sword
11468,talabijin mai inganci,positive,high quality television
11469,talabijin mai kyau,positive,good television
11470,talabijin na musamman,positive,special television
11471,talabijin ne,neutral,it is television
11472,talabijin yana kunne,neutral,television is on
11473,talaka ne shi,negative,a poor man
11474,talakawa amintattu,negative,poor faithful
11475,talakawa ba su da kyau,negative,poor people are not good
11476,talakawa ce,negative,she is poor
11477,talakawa malaman makaranta,negative,poor school teachers
11478,talakawa masu arziki ne,negative,they are poor rich people
11479,talakawa matafiya,negative,poor travelers
11480,talakawa ne,negative,the poor
11481,talakawa ne awaki,negative,they are poor goats
11482,talakawa ne su,negative,they are poor
11483,talakawa sosai,negative,"very, very poor"
11484,talatin ne lamba,neutral,thirty is a number
11485,talatin ne lambar,neutral,thirty is the number
11486,talauci ba shi da kyau,negative,poverty is not good
11487,talauci ne,negative,poverty
11488,talauci sosai,negative,high poverty
11489,taliya mai yawa,neutral,a lot of pasta
11490,talla ce,neutral,it's advertising
11491,talla kasuwanci ne,neutral,marketing is a business
11492,tallafa wa masu rauni,negative,support the weak
11493,tallafin al'umma ne,positive,it is community support
11494,tallafin gwamnati ne,positive,it is a government grant
11495,tallafin jarirai,neutral,adoption of infants
11496,tallafin ma'aikatan gwamnati,positive,support of government employees
11497,tallafin ma'aurata ne,positive,it is spousal support
11498,tallafin makiyaya ne,positive,it is pastoral support
11499,tallafin matasa ne,positive,it is youth support
11500,tallafin na wani abu ne,neutral,the grant is for something
11501,tallafin shi,positive,his donation
11502,tallafin yara ne,positive,it is child support
11503,tallan don wani abu ne,neutral,the ad is for something
11504,tallan makamai,negative,marketing of weapons
11505,tambaya mai kyau,positive,good question
11506,tambayi wani,neutral,ask someone else
11507,tana da ciki,positive,she is pregnant
11508,tana da hankali,positive,she is wise
11509,tana da himma,positive,she is diligent
11510,tana da juriya,neutral,she is resilient
11511,tana da kirki,positive,she is kind
11512,tana da kwarjini,positive,she is charismatic
11513,tana da kyau,positive,she is beautiful
11514,tana da lalaci,negative,she is lazy
11515,tana da sha'awa,negative,she is passionate
11516,tana da ziyara,neutral,she has a visit
11517,tana hutawa,positive,she was resting
11518,tana karewa,neutral,she is protective
11519,tana nutsewa,positive,she was drowning
11520,tana son ku,positive,she loves you
11521,tana yin aiki sosai,positive,she is doing a very good job
11522,tanadi ce,neutral,savings
11523,tankin yana da girma,neutral,the tank is large
11524,tantanin halitta na musamman,positive,a special cell
11525,tanti a waje,neutral,a tent outdoors
11526,tantin yana waje,neutral,the tent is outdoors
11527,tara shi,neutral,collect it
11528,tara shine lambar,neutral,nine is the number
11529,tarayyar soviet,neutral,the soviet union
11530,tarbiyar dabba ce,negative,it is an animal discipline
11531,tarbiyar kare ce,negative,it is a dog's discipline
11532,tarbiyar mace ce,positive,woman's discipline
11533,tarbiyar yara ce,positive,child's discipline
11534,tarbiyar yara ga iyaye,neutral,children's discipline for parents
11535,tare da,neutral,with
11536,tare da fara'a,neutral,with cheerfulness
11537,tare da farin ciki,positive,with happiness
11538,tare da girma,positive,with greatness
11539,tare da girmamawa,positive,with respect
11540,tare da gwaninta,positive,with experience
11541,tare da hakuri,neutral,with patience
11542,tare da hanya,neutral,along the way
11543,tare da himma,neutral,with diligence
11544,tare da iskar gas tare,neutral,with gases collectively
11545,tare da izgili,negative,with mockery
11546,tare da mai rarrabawa,neutral,with a divider
11547,tare da nauyi,neutral,with weight
11548,tare da rance a jiki,positive,with a loan in the body
11549,tare da shi,neutral,along with it
11550,tare da tawali'u,positive,with humility
11551,tare da zuciyar kare,neutral,with the heart of a dog
11552,tari ba daidai ba ne,negative,cough is not right
11553,tarihi ne,neutral,it was history
11554,tarin shara,negative,alots of garbage
11555,tarko ga marasa gaskiya,negative,traps for the dishonest
11556,tarkon alfijir,neutral,the trap of dawn
11557,tarkon marasa gaskiya,negative,the trap of the dishonest
11558,tarkon tarko ne,negative,the entrap is a trap
11559,taro ne,neutral,meeting
11560,taron coci ne,neutral,it is a church meeting
11561,taron jama'a,neutral,a crowd
11562,taron ya shafi wani abu ne,neutral,the conference is about something
11563,taron yana faruwa,neutral,the meeting is happening
11564,tarurrukan ne,neutral,it is a revival
11565,tarzoma ta barke,negative,a riot broke out
11566,tarzomar yahudawa ce,negative,it is a jewish riot
11567,tasha ce,neutral,it is a stop
11568,tashar ruwa ce,neutral,it's a port
11569,tashi anan,neutral,stand up here
11570,tashin hankali,negative,the atrocity
11571,tashin hankali yana faruwa,negative,the hassling is happening
11572,tashin hankalin jama'a ne,neutral,it is a public revolt
11573,tashin iska,neutral,the rising of the wind
11574,tasiri ne,neutral,influential
11575,taska na mugunta,negative,the treasure of evil
11576,taswirar tana da taswira,neutral,the map has a map
11577,tatsuniya ce,neutral,it is a myth
11578,tattabara mai wayo,positive,a clever pigeon
11579,tattalin arziki,neutral,the economy
11580,tattalin arzikin abubuwa,neutral,the economics of things
11581,tattauna batun,neutral,discuss the topic
11582,tattauna da shi,neutral,discuss it
11583,tattaunawa ce cikakke,positive,it is a perfect conversation
11584,tattaunawa ce mai girma,positive,it is a great conversation
11585,tattaunawa ce mai laushi,positive,it is a soft conversation
11586,tattaunawa tsakanin abokai,neutral,a conversation between friends
11587,tauna mai kyau,positive,good chewing
11588,tauna sirrin,negative,chew the secret
11589,taurari masu kyau,positive,good stars
11590,taurarin dutse,positive,the rock stars
11591,taurarin dutsen sun shahara,positive,the rock stars are famous
11592,tauraro mai inganci,positive,a quality human star
11593,tauraro mai kyau,positive,a good star
11594,tauraron dan adam,neutral,the satellite
11595,tauraron dan adam ne,neutral,it is a satellite
11596,tauraron mutum ne,neutral,the star is a person
11597,tauraruwa ce,positive,she is a star
11598,tauraruwa ce mai tsafta,positive,it is pure stardom
11599,tauraruwar dutse,positive,the rock-star
11600,tauri sosai,negative,very tough
11601,taurin kai,negative,stubbornness
11602,taurin kai ba shi da kyau,negative,stubbornness is not good
11603,tausa mai kyau,positive,a good massage
11604,tausasawa jama'a,positive,gentleness
11605,tausaya musu,negative,pity them
11606,tausayi ce,positive,the sympathy
11607,tausayi ga malaman allo,positive,sympathy for board teachers
11608,tausayi ga malaman coci,positive,sympathy for church teachers
11609,tausayi ga malaman firamare,positive,sympathy for primary teachers
11610,tausayi ga malaman jami'a,positive,sympathy for college teachers
11611,tausayi ga masu karbar fansho,positive,sympathy for pensioners
11612,tausayi ga shugabanni,positive,compassion for leaders
11613,tausayi ga 'yan gudun hijira,positive,compassion for refugees
11614,tausayi gurgu ne,negative,compassion is lame
11615,tausayi makaho ne,positive,compassion is blind
11616,tausayi ne,positive,sympathy
11617,tausayi ya tsufa,positive,compassion is old
11618,tausayin almajirai ne,neutral,it is the compassion of the disciples
11619,tausayin kai,positive,self-pity
11620,tausayin kanana,positive,pity the little ones
11621,tausayin likitoci ne,positive,it is the compassion of doctors
11622,tausayin ma'aikata ne,positive,it is the sympathy of the workers
11623,tausayin mace ne,positive,it is a woman's compassion
11624,tausayin malaman makaranta,positive,sympathy for school teachers
11625,tausayin malaman sana'a,positive,sympathy for vocational teachers
11626,tausayin masoya shayi,positive,pity the tea lovers
11627,tausayin masu ibada,positive,the compassion of worshipers
11628,tausayin ungozoma ne,positive,it is a midwife's compassion
11629,tausayin yaro ne,positive,it is a child's pity
11630,tauye wani abu,negative,detracts from something
11631,tawali'u ce,positive,humble
11632,tawaye ne,negative,it is a rebellion
11633,tawaye ne na matasa,negative,it is a rebellion of the youth
11634,tawayen akuya ce,neutral,it is the goat's rebellion
11635,tawayen al'umma ne,neutral,it is the rebellion of the community
11636,tawayen dalibai ne,neutral,it is a student rebellion
11637,tawayen gizagizai,neutral,the rebellion of the clouds
11638,tawayen masu mulki,negative,the revolt of the rulers
11639,tawayen mata ne,negative,rebellion of women
11640,tawayen soja ne,negative,military rebellion
11641,tawayen turawa ne,negative,it is a european rebellion
11642,tawayen 'yan damfara,neutral,revolt of the rogues
11643,tawayen 'yan makaranta,negative,schoolchildren's rebellion
11644,tawayen yan tawaye,negative,the rebellion of the rebels
11645,tawayen yara ne,negative,it is childish rebellion
11646,taya murna ga abokai,positive,congratulations to friends
11647,taya murna ga editoci,positive,congratulations to the editors
11648,taya murna ga likitoci,positive,congratulations to the doctors
11649,taya murna ga magina,positive,congratulations to the builders
11650,taya murna ga sauran,positive,congratulations to others
11651,tayan keke,neutral,a wheel
11652,tayi dariya,positive,she laughed
11653,tayi kasa,positive,it's ground breaking
11654,tayi sallama,positive,say a salute
11655,tayin ku,neutral,your offer
11656,tayoyin inganci,positive,quality tires
11657,tazarar kwana guda,neutral,a day's distance
11658,tebur babba ne,neutral,the desk is large
11659,teburi na musamman,positive,special table
11660,teku ne,neutral,it was the sea
11661,tekun yana da gaba,neutral,the shore has a shore
11662,tekun yana da yashi,neutral,the beach has sand
11663,tela ce da aka shirya,neutral,it is a ready-made tailor
11664,tela mai tausayi,positive,a compassionate tailor
11665,tela mai tsari,positive,a patterned tailor
11666,tela mara lafiya,positive,a patient tailor
11667,the albarkatun,neutral,the resource
11668,the chatbox,negative,the chatterbox
11669,the chintzy,negative,the chintzy one
11670,the ciniki,neutral,the bargain
11671,the dakin gwaje-gwaje,neutral,the laboratory
11672,the hargitsi,negative,the harasses
11673,the kasa,negative,the downer
11674,the koma baya,negative,the downturn
11675,the koto,positive,the bait
11676,the mai yiwuwa,neutral,the prospect
11677,the matattubeat,negative,the deadbeat
11678,the muhalli,neutral,the environmental
11679,the post game da wani abu ne,neutral,the post is about something
11680,the reshe yana da reshe,neutral,the wing has a wing
11681,the thrift,negative,the thrifty
11682,the zargi,neutral,the denunciation
11683,the zuba jari,neutral,the investment
11684,tilastawa a wurin aiki,negative,compulsion at work
11685,tilastawa bauta,negative,forced slavery
11686,tilastawa ne,negative,it's coercive
11687,tilastawa 'yan mata su zama arna,negative,force girls to be pagans
11688,tir da shi a gare shi,negative,it is evil with him
11689,to da da kyau,positive,"well, well, well"
11690,to da kyau,positive,"well, nicely"
11691,to haka ne,neutral,"well, that's right"
11692,to irin wannan,neutral,a tale
11693,to kash,negative,"well, heck"
11694,to lafiya,positive,"well, fine"
11695,to mai gamsarwa,positive,"well, satisfactory"
11696,to wannan wani nau'in ne,neutral,so that is another kind
11697,to yana da kyau,positive,"well, it's fine"
11698,tofa mana,neutral,spit on us
11699,tofar da abu,neutral,spit
11700,toshe hanyoyi,negative,block roads
11701,toshe wa,neutral,it is a block
11702,toshewar hanyoyin jini,negative,blood vessel blockage
11703,toshewar kai,negative,blockage of the head
11704,trump ne shugaba,positive,trump is the leader
11705,tsabar kudi ce,neutral,it is a coin
11706,tsabtace bandaki ne,neutral,bathroom cleaning
11707,tsafta a falo,neutral,cleanliness in the living room
11708,tsafta abinci ne,positive,cleanliness of food
11709,tsafta aji ne,positive,cleanliness is a class
11710,tsafta dabba ce,positive,cleanliness is the best
11711,tsafta ita ce fata ta,positive,cleanliness of my skin
11712,tsafta ita ce jiki,positive,cleanliness of the body
11713,tsafta ita ce kalmomi,positive,cleanliness of tough
11714,tsafta ita ce muhalli,positive,cleanliness of the environment
11715,tsafta lamari ne,neutral,cleanliness is an issue
11716,tsafta magana ce,neutral,cleanliness is a speech
11717,tsafta makaranta ce,neutral,cleanliness is a culture
11718,tsafta na yara ne,neutral,cleanliness is for children
11719,tsafta naka ne,positive,cleanliness is yours
11720,tsafta rijiya ce,positive,cleanliness is a well
11721,tsafta shine kofi,positive,cleanliness of coffee
11722,tsaftace fafafu ne,positive,it is clean feet
11723,tsaftace gashi,positive,clean hair
11724,tsaftace haram,negative,it is a clean ban
11725,tsaftace inji,neutral,cleanliness of machine
11726,tsaftace kuma da kyau,positive,clean and well
11727,tsaftace kunne,positive,clean the ear
11728,tsaftace riga,positive,clean a shirt
11729,tsaftace shi,positive,keep it clean
11730,tsaftace tsakar gida,positive,clean up the yard
11731,tsaftace tsarin doka,positive,clean up the legal system
11732,tsaftace tsarin tsaro,positive,clean up the security system
11733,tsaftace wa,positive,clean up
11734,tsaftace wurin,positive,cleaning the area
11735,tsaftacewan guga,positive,cleaning of bucket
11736,tsaftar hakori ne,positive,it is a dental hygiene
11737,tsagaita wuta ne,positive,it is a cease fire
11738,tsakanin abokai ne,neutral,it is between friends
11739,tsakanin masu laifi,negative,between criminals
11740,tsakanin su,neutral,among them
11741,tsaki ya fashe,negative,the idol exploded
11742,tsakiyar ta fi kyau,positive,the middle is better
11743,tsammani abu ne,neutral,expectation is a thing
11744,tsana ga abubuwa,negative,aversions to things
11745,tsanani ce,negative,strict
11746,tsanani sosai,positive,very strict
11747,tsananin girgiza bacci,negative,severe sleep shock
11748,tsananin yara ne,negative,it is a child's defiance
11749,tsananin yarinya ce,negative,it is a girl's defiance
11750,tsananin zafi,negative,severity of pain
11751,tsangwama ne,negative,it's harassment
11752,tsantsar shirina ne,positive,it is my pure plan
11753,tsantsar ta'addanci ne,negative,it is pure terrorism
11754,tsara haka,neutral,sort that
11755,tsararren layi ne,neutral,it is a structured line
11756,tsare kanku,positive,secure yourself
11757,tsari abu ne,neutral,planning is a thing
11758,tsari ne,neutral,it is a structure
11759,tsari zuwa tsara,neutral,peer to peer
11760,tsarin gini,neutral,structured building
11761,tsarin mulki yana nan,neutral,the regime is in place
11762,tsarin mulkin kama-karya,neutral,a totalitarian regime
11763,tsarin rawa,neutral,a dance routine
11764,tsarin tattalin arziki daga al'umma,positive,economic structure from society
11765,tsarin tsari,neutral,a framework
11766,tsarin tsari ne,neutral,it's a framework
11767,tsarkakakkiyar lokaci ne,positive,it is pure tenure
11768,tsarkake abin sha,positive,purify the drink
11769,tsarkake iska,negative,purify the air
11770,tsarkake muhalli,neutral,purify the environment
11771,tsarkake tsarin koyarwa,positive,purify the teaching process
11772,tsarki daya ne,positive,purification is the same
11773,tsaro ne,neutral,it is a security
11774,tsatsa ce,positive,it was rust
11775,tsattsauran ra'ayi,negative,extremism
11776,tsattsauran ra'ayi ba daidai ba ne,negative,fundamentalism is not correct
11777,tsawon lokaci,neutral,a long time
11778,tsawon tsayi,neutral,the height
11779,tsaya a nan,neutral,stop here
11780,tsaya kwata-kwata,neutral,stop at all
11781,tsaya maikya,neutral,stop well
11782,tsaya tsayi,neutral,stand tall
11783,tsayawa akan gaskiya,positive,sticking to the truth
11784,tsayayya mai karfi,neutral,affirmative resist
11785,tsaye naganshi,neutral,i saw him standing
11786,tsaye ne,neutral,i stand-up
11787,tsayinsa ne,neutral,it is the height of it
11788,tsegumi ce,negative,gossip
11789,tsegumi ya ke,negative,gossip
11790,tserewa ce,positive,escape
11791,tsigewa ne,negative,it is impeachment
11792,tsine maka,negative,damn you
11793,tsinuwa ne,negative,brooch
11794,tsirara ce,negative,nakedness
11795,tsirrai masu kyau na magani,positive,good medicinal plants
11796,tsofaffi ce,neutral,old age class
11797,tsofaffin,neutral,the old ones
11798,tsoho ne,neutral,is old man
11799,tsoho ne mahaukaci,negative,he is a crazy old man
11800,tsohon birki,negative,an old brake
11801,tsohon dare,neutral,old night
11802,tsohon mutum,neutral,former person
11803,tsohon soja,neutral,the veteran
11804,tsohon sojan soja ne,neutral,the veteran is a veteran
11805,tsohon ya ragu,negative,the old is decrepit
11806,tsohuwa tauri,negative,a tough old woman
11807,tsohuwar mace mara aure,positive,an older single woman
11808,tsohuwar ta rasu,negative,the old woman died
11809,tsohuwar-fashi,neutral,old-fashioned
11810,tsokoki na ba su da kyau,negative,my muscles are not good
11811,tsokoki na sun yi zafi,negative,my muscles hurt
11812,tsorata ne,negative,panic
11813,tsoro abu ne da yake bani tsoro,negative,fear is something that scares me
11814,tsoro ba shi da kyau,negative,fear is not good
11815,tsoro ne,negative,scare
11816,tsoro yake,negative,his scared
11817,tsoron abin da ba a sani ba,negative,fear of the unknown
11818,tsoron cututtuka,negative,fear of disease
11819,tsoron mu,neutral,our fear
11820,tsoron mugunta,negative,fear evil
11821,tsoron saba,negative,fear of familiarity
11822,tsotsar ba ta da lafiya,negative,the suction is sick
11823,tsotse shi,negative,suck it up
11824,tsuntsayen ganima sun mutu,negative,birds of prey are dead
